DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,REJECTED,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,REJECTED,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,TOTAL_POS,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,TOTAL_POS,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,TOTAL_POS,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,TOTAL_POS,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_GE65,TOTAL_POS,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,REJECTED,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,REJECTED,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,REJECTED,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,REJECTED,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,REJECTED,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,TOTAL_POS,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,TOTAL_POS,FR,2016,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,TOTAL_POS,FR,2017,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,TOTAL_POS,FR,2018,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AG,T,Y_LT18,TOTAL_POS,FR,2019,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,REJECTED,FR,2015,1545,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,REJECTED,FR,2016,1405,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,REJECTED,FR,2017,2150,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,REJECTED,FR,2018,2550,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,REJECTED,FR,2019,1825,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,TOTAL_POS,FR,2015,105,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,TOTAL_POS,FR,2016,200,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,TOTAL_POS,FR,2017,210,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,TOTAL_POS,FR,2018,250,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,TOTAL,TOTAL_POS,FR,2019,130,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,REJECTED,FR,2015,550,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,REJECTED,FR,2016,490,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,REJECTED,FR,2017,690,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,REJECTED,FR,2018,815,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,REJECTED,FR,2019,565,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,TOTAL_POS,FR,2015,25,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,TOTAL_POS,FR,2016,40,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,TOTAL_POS,FR,2017,45,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,TOTAL_POS,FR,2018,55,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y18-34,TOTAL_POS,FR,2019,35,
